No.[60],Name,Net worth (USD),Nationality,Source(s) of wealth
1,Yoshiaki Tsutsumi,$15.0 billion,Japan,Seibu Corporation
2,Taikichiro Mori,$14.2 billion,Japan,Mori Building Company
3,Sam Walton,$8.7 billion,United States,Wal-Mart
4,Reichmann brothers,$8.0 billion,Canada,Olympia & York
4,Shin Kyuk-ho,$8.0 billion,South Korea,Lotte Corporation
6,Hirotomo Takei,$7.8 billion,Japan,Chisan
7,Kitaro Watanabe,$7.0 billion+,Japan,Azabu Building
8,Haruhiko Yoshimoto,$7.0 billion,Japan,Real estate
8,Hans,$7.0 billion,Sweden,Tetra Pak
10,Eitaro Itoyama,$6.6 billion,Japan,Shin Nihon Kanko
