No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Bill Gates,$58.7 billion,45,United States,Microsoft
2,Warren Buffett,$32.3 billion,70,United States,Berkshire Hathaway
3,Paul Allen,$30.4 billion,48,United States,Microsoft
4,Larry Ellison,$26.0 billion,56,United States,Oracle Corporation
5,Karl,$25.0 billion,81,Germany,Aldi
6,Al-Waleed bin Talal,$20.0 billion,44,Saudi Arabia,Kingdom Holding Company
7,Jim Walton,$18.8 billion,53,United States,Wal-Mart
8,John Walton,$18.7 billion,55,United States,Wal-Mart
9,S. Robson Walton,$18.6 billion,57,United States,Wal-Mart
10,Alice Walton,$18.5 billion,52,United States,Wal-Mart
10,Helen Walton,$18.5 billion,81,United States,Wal-Mart
