No.[48],Name,Net worth (USD),Nationality,Source(s) of wealth
1,Walton family,$23.5 billion,United States,Wal-Mart
2,Bill Gates,$12.9 billion,United States,Microsoft
3,Warren Buffett,$10.7 billion,United States,Berkshire Hathaway
4,Hans,$9.0 billion,Sweden,Tetra Pak
5,Yoshiaki Tsutsumi,$9.0 billion,Japan,Seibu Corporation
6,Paul Sacher,$8.6 billion,Switzerland,Hoffmann-La Roche
7,Tsai Wan-lin,$8.5 billion,Taiwan,Lin Yuan Group
8,Kenneth Thomson,$6.5 billion,Canada,Thomson Corporation
9,Lee Shau-kee,$6.5 billion,Hong Kong,Henderson Land Development
10,Chung Ju-yung,$6.2 billion,South Korea,Hyundai
