No.[48],Name,Net worth (USD),Nationality,Source(s) of wealth
1,Yoshiaki Tsutsumi,$16.0 billion,Japan,Seibu Corporation
2,Taikichiro Mori,$14.6 billion,Japan,Mori Building Company
3,Walton family,$13.5 billion,United States,Wal-Mart
4,du Pont family,$10.0 billion,United States,DuPont
5,Hans,$9.6 billion,Sweden,Tetra Pak
6,Kitaro Watanabe,$9.2 billion,Japan,Azabu Building
7,Paul Reichmann,$9.0 billion,Canada,Olympia & York
8,Kenkichi Nakajima,$8.4 billion,Japan,Heiwa Corporation
9,Shin Kyuk-ho,$7.5 billion,South Korea,Lotte Corporation
10,Eitaro Itoyama,$5.8 billion,Japan,Shin Nihon Kanko
