No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Carlos Slim,$74.0 billion,71,Mexico,América Móvil
2,Bill Gates,$56.0 billion,55,United States,Microsoft
3,Warren Buffett,$50.0 billion,80,United States,Berkshire Hathaway
4,Bernard Arnault,$41.0 billion,62,France,LVMH Moët Hennessy • Louis Vuitton
5,Larry Ellison,$39.5 billion,66,United States,Oracle Corporation
6,Lakshmi Mittal,$31.1 billion,60,India,Arcelor Mittal
7,Amancio Ortega,$31.0 billion,74,Spain,Inditex Group
8,Eike Batista,$30.0 billion,53,Brazil,EBX Group
9,Mukesh Ambani,$27.0 billion,54,India,Reliance Industries
10,Christy Walton,$26.5 billion,62,United States,Walmart
