No.[48],Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Bill Gates,$90.0 billion,43,United States,Microsoft
2,Warren Buffett,$36.0 billion,68,United States,Berkshire Hathaway
3,Paul Allen,$30.0 billion,46,United States,Microsoft
4,Steven Ballmer,$19.5 billion,43,United States,Microsoft
5,Philip Anschutz,$16.5 billion,59,United States,The Anschutz Corporation
6,Michael Dell,$16.5 billion,34,United States,Dell
7,S. Robson Walton,$15.8 billion,55,United States,Wal-Mart
8,Al-Waleed Bin Talal,$15.0 billion,42,Saudi Arabia,Kingdom Holding Company
9,Karl,$13.6 billion,79,Germany,Aldi
10,Li Ka-shing,$12.6 billion,71,Hong Kong,CK Asset Holdings
