No.[48],Name,Net worth (USD),Nationality,Source(s) of wealth
1,Walton family,$18.5 billion,United States,Wal-Mart
2,Taikichiro Mori,$15.0 billion,Japan,Mori Building Company
3,Yoshiaki Tsutsumi,$14.0 billion,Japan,Seibu Corporation
4,du Pont family,$10.0 billion,United States,DuPont
5,Hans,$9.0 billion,Sweden,Tetra Pak
6,Kitaro Watanabe,$7.7 billion,Japan,Azabu Building
7,Paul Reichmann,$7.1 billion,Canada,Olympia & York
8,Kenneth Thomson,$6.8 billion,Canada,Thomson Corporation
9,Kenkichi Nakajima,$6.1 billion,Japan,Heiwa Corporation
10,Shin Kyuk-ho,$6.0 billion,South Korea,Lotte Corporation
