No.[62],Name,Net worth (USD),Nationality,Source(s) of wealth
1,Yoshiaki Tsutsumi,$20 billion,Japan,Seibu Corporation
2,Taikichiro Mori,$15 billion,Japan,Mori Building Company
3,Shigeru Kobayashi,$7.5 billion,Japan,Shuwa Corporation
4,Haruhiko Yoshimoto,$7.0 billion,Japan,Real estate
5,Salim Ahmed bin Mahfouz,$6.2 billion,Saudi Arabia,National Commercial Bank
6,Hans,$6.0 billion,Sweden,Tetra Pak
7,Paul Reichmann,$6.0 billion,Canada,Olympia & York
8,Yohachiro Iwasaki,$5.6 billion,Japan,Real estate
9,Kenneth Thomson,$5.4 billion,Canada,Thomson Corporation
10,Keizo Saji,$4.0 billion,Japan,Suntory
