No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Carlos Slim,$53.5 billion,70,Mexico,América Móvil
2,Bill Gates,$53.0 billion,54,United States,Microsoft
3,Warren Buffett,$47.0 billion,79,United States,Berkshire Hathaway
4,Mukesh Ambani,$29.0 billion,53,India,Reliance Industries
5,Lakshmi Mittal,$28.7 billion,60,India,Arcelor Mittal
6,Larry Ellison,$28.0 billion,66,United States,Oracle Corporation
7,Bernard Arnault,$27.5 billion,61,France,LVMH Moët Hennessy • Louis Vuitton
8,Eike Batista,$27.0 billion,53,Brazil,EBX Group
9,Amancio Ortega,$25.0 billion,74,Spain,Inditex Group
10,Karl Albrecht,$23.5 billion,90,Germany,Aldi Süd
