No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Bill Gates,$46.6 billion,48,United States,Microsoft
2,Warren Buffett,$42.9 billion,73,United States,Berkshire Hathaway
3,Karl Albrecht,$23.0 billion,84,Germany,Aldi Süd
4,Al-Waleed bin Talal,$21.5 billion,47,Saudi Arabia,Kingdom Holding Company
5,Paul Allen,$21.0 billion,51,United States,Microsoft
6,Alice Walton,$20.0 billion,55,United States,Wal-Mart
6,Helen Walton,$20.0 billion,84,United States,Wal-Mart
6,Jim Walton,$20.0 billion,56,United States,Wal-Mart
6,John Walton,$20.0 billion,58,United States,Wal-Mart
6,S. Robson Walton,$20.0 billion,60,United States,Wal-Mart
