No.[61],Name,Net worth (USD),Nationality,Source(s) of wealth
1,Yoshiaki Tsutsumi,$18.9 billion,Japan,Seibu Corporation
2,Taikichiro Mori,$18.0 billion,Japan,Mori Building Company
3,Reichmann brothers,$9.0 billion,Canada,Olympia & York
4,Shin Kyuk-ho,$8.0 billion,South Korea,Lotte Corporation
4,K. C. Irving,$8.0 billion,Canada,Irving Oil
6,Haruhiko Yoshimoto,$7.8 billion,Japan,Real estate
7,Sam Walton,$6.5 billion,United States,Wal-Mart
8,Tsai Wan-lin,$5.6 billion,Taiwan,Lin Yuan Group
9,Eitaro Itoyama,$5.0 billion+,Japan,Shin Nihon Kanko
10,Kitaro Watanabe,$5.2 billion,Japan,Azabu Building
