No.[48],Name,Net worth (USD),Nationality,Source(s) of wealth
1,Walton family,$23.8 billion,United States,Wal-Mart
2,Taikichiro Mori,$13.0 billion,Japan,Mori Building Company
3,Yoshiaki Tsutsumi,$10.0 billion,Japan,Seibu Corporation
4,Hans,$7.0 billion,Sweden,Tetra Pak
5,Erivan Haub,$6.9 billion,Germany,Tengelmann Group
6,Haniel family,$6.4 billion,Germany,Franz Haniel & Cie.
7,Bill Gates,$6.4 billion,United States,Microsoft
8,David Sainsbury,$6.2 billion,United Kingdom,Sainsbury's
9,Kenneth Thomson,$6.2 billion,Canada,Thomson Corporation
10,Shin Kyuk-ho,$6.0 billion,South Korea,Lotte Corporation
