No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Bill Gates,$86.0 billion,61,United States,Microsoft
2,Warren Buffett,$75.6 billion,86,United States,Berkshire Hathaway
3,Jeff Bezos,$72.8 billion,53,United States,Amazon
4,Amancio Ortega,$71.3 billion,80,Spain,Inditex
5,Mark Zuckerberg,$56.0 billion,32,United States,"Facebook, Inc."
6,Carlos Slim,$54.5 billion,77,Mexico,América Móvil
7,Larry Ellison,$52.2 billion,72,United States,Oracle Corporation
8,Charles Koch,$48.3 billion,81,United States,Koch Industries
8,David Koch,$48.3 billion,76,United States,Koch Industries
10,Michael Bloomberg,$47.5 billion,75,United States,Bloomberg L.P.
